InChIKey,SMILES
PFJFIFJKDPIALO-UHFFFAOYSA-N,O=C(CCc1ccccc1)Cc1ccccc1
NHBBLULITNXPDY-UHFFFAOYSA-N,O=C(Cc1ccccc1)C1CCCCC1
OTKCEEWUXHVZQI-UHFFFAOYSA-N,O=C(Cc1ccccc1)c1ccccc1
ZGTHHNNORWULAE-UHFFFAOYSA-N,CCCCC(=O)CCc1ccccc1
ICADMAXOJLUEEB-UHFFFAOYSA-N,CCCCC(=O)C1CCCCC1
XKGLSKVNOSHTAD-UHFFFAOYSA-N,CCCCC(=O)c1ccccc1
LFBKBXCVHMMYSM-UHFFFAOYSA-N,O=C(CCc1ccccc1)C1CCCCC1
QGGZBXOADPVUPN-UHFFFAOYSA-N,O=C(CCc1ccccc1)c1ccccc1
BMFYCFSWWDXEPB-UHFFFAOYSA-N,O=C(c1ccccc1)C1CCCCC1
BZKFMUIJRXWWQK-UHFFFAOYSA-N,O=C1C=CCC1
QQXJNLYVPPBERR-UHFFFAOYSA-N,CCCCCCCCCC(=O)c1ccccc1
LHJBFOGCFZHBAJ-UHFFFAOYSA-N,CCCCCCCCCCC(=O)c1ccccc1
DJNJZIFFCJTUDS-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)c1ccccc1
ZZNDQCACFUJAKJ-UHFFFAOYSA-N,CCCCCCCCCCCCC(=O)c1ccccc1
LXUIUVLDNRQBQJ-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)c1ccccc1
VUXIOSYYRVXOOT-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC(=O)c1ccccc1
DBLXXVQTWJFJFI-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)c1ccccc1
ZAVHZGXNVXPEQL-UHFFFAOYSA-N,CCCCCCCCCCC(=O)c1ccc(C)cc1
UPXYDTHCXGAAOR-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)c1ccc(Br)cc1
LQWPEACAJAMZQF-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)c1ccc(O)cc1
VYEAAEOKYGNCAW-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)C1CC=CCO1
OXNUVECEMGENBT-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)c1ccco1
PKZFXANDBXVDRM-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)c1cccs1
GRKKWJQOJDWEEN-UHFFFAOYSA-N,CCCCCCCCCCC(=O)c1ccc2ccccc2c1
DFYJCXSOGSYMAJ-UHFFFAOYSA-N,CC(C)(C)c1ccc(C(=O)c2ccccc2)cc1
YXWWHNCQZBVZPV-UHFFFAOYSA-N,CC(=O)c1ccccc1C
PJCBRWRFLHBSNH-UHFFFAOYSA-N,Cc1ccc(C)c(C(=O)c2ccccc2)c1
PVSHPLKPKFIRHX-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NCCc2ccc(C)cc2C(=O)c2ccccc2)cc1
CKGKXGQVRVAKEA-UHFFFAOYSA-N,Cc1ccccc1C(=O)c1ccccc1
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O
ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,CCCCCCC(C)=O
FFSAXUULYPJSKH-UHFFFAOYSA-N,CCCC(=O)c1ccccc1
BSMGLVDZZMBWQB-UHFFFAOYSA-N,CC(C)C(=O)c1ccccc1
OECPUBRNDKXFDX-UHFFFAOYSA-N,CC(C)(C)C(=O)c1ccccc1
FNENWZWNOPCZGK-UHFFFAOYSA-N,CCOC(=O)C(C)C(C)=O
LIGACIXOYTUXAW-UHFFFAOYSA-N,O=C(CBr)c1ccccc1
WYECURVXVYPVAT-UHFFFAOYSA-N,CC(=O)c1ccc(Br)cc1
ADCYRBXQAJXJTD-UHFFFAOYSA-N,CCC(=O)c1ccc(Cl)cc1
VYWPPRLJNVHPEU-UHFFFAOYSA-N,O=C(CCl)c1ccc(Cl)cc1Cl
